 hotel ; restaurant ; chef ; hote 
Hôtel Daniel ; https://www.relaischateaux.com/fr/france/danielparis-paris ; https://www.relaischateaux.com/fr/maitre-maison/cecile-croisard ; https://www.relaischateaux.com/fr/maitre-maison/annabelle-gamelin;  
Hôtel Impérial Garoupe ; https://www.relaischateaux.com/fr/france/garoupe-alpes-maritimes-cap-d-antibes ; https://www.relaischateaux.com/fr/chef/pierre-alain-garnier ; https://www.relaischateaux.com/fr/maitre-maison/gilbert-irondelle;  
Hôtel Le Chabichou Restaurants & Spa ; https://www.relaischateaux.com/fr/france/chabichou-savoie-courchevel-1850 ; https://www.relaischateaux.com/fr/chef/michel-rochedy-stephane-buron ; https://www.relaischateaux.com/fr/maitre-maison/famille-rochedy;  
Hôtel Les Barmes de l'Ours ; https://www.relaischateaux.com/fr/france/barmes-de-l-ours-savoie ; https://www.relaischateaux.com/fr/chef/antoine-gras ; https://www.relaischateaux.com/fr/maitre-maison/valerie-boulenger;  
Hôtel Parc Victoria ; https://www.relaischateaux.com/fr/france/parcvictoria-pyrenees-atlantiques-saint-jean-de-luz ; https://www.relaischateaux.com/fr/chef/guillaume-applaincourt ; https://www.relaischateaux.com/fr/maitre-maison/bernard-denegre;  
Hôtel Restaurant Auberge du Père Bise – Jean Sulpice ; https://www.relaischateaux.com/fr/france/bise-haute-savoie-talloires ; https://www.relaischateaux.com/fr/chef/jean-sulpice ; https://www.relaischateaux.com/fr/maitre-maison/magali-jean-sulpice;  
Hôtel Restaurant Clos des Sens - Laurent PETIT ; https://www.relaischateaux.com/fr/france/clos-des-sens-haute-savoie ; https://www.relaischateaux.com/fr/chef/laurent-petit ; https://www.relaischateaux.com/fr/maitre-maison/laurent-and-martine-petit;  
Hôtel Restaurant En Marge ; https://www.relaischateaux.com/fr/france/hotel-restaurant-en-marge-aureville ; https://www.relaischateaux.com/fr/chef/frank-renimel ; https://www.relaischateaux.com/fr/maitre-maison/isabelle-renimel;  
Hôtel Splendide Royal Paris ; https://www.relaischateaux.com/fr/france/hotel-splendide-royal-paris ; https://www.relaischateaux.com/fr/chef/vito-grippa ; https://www.relaischateaux.com/fr/maitre-maison/benoit-saudemont;  
Hôtel de la Plage ; https://www.relaischateaux.com/fr/france/laplage-finistere-sainte-anne-la-palud ; https://www.relaischateaux.com/fr/chef/yoann-no%C3%ABl ; https://www.relaischateaux.com/fr/maitre-maison/anne-et-jean-milliau-le-coz;  
